City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,77.09,81,58,14.07,PF,1667554019
1,bluff,-46.6,168.3333,49.91,71,34,27.34,NZ,1667554020
2,busselton,-33.65,115.3333,63.77,52,59,14.74,AU,1667554022
3,codrington,-38.2667,141.9667,51.96,81,73,5.14,AU,1667554023
4,kabinda,-6.1333,24.4833,80.22,54,90,3.69,CD,1667554026
5,luorong,24.4058,109.6086,75.65,36,89,12.64,CN,1667554027
6,sangar,63.9242,127.4739,-4.36,100,92,1.1,RU,1667554028
7,severo-kurilsk,50.6789,156.125,38.95,74,31,9.95,RU,1667554029
8,nyahururu,0.0421,36.3673,59.76,69,100,4.16,KE,1667554030
9,pevek,69.7008,170.3133,-16.56,98,32,6.15,RU,1667554032
10,sao manuel,-22.7311,-48.5706,50.74,82,0,10.38,BR,1667554034
11,irricana,51.3237,-113.6048,33.78,83,98,6.46,CA,1667554035
12,vargem grande,-3.5431,-43.9158,73.67,96,100,2.01,BR,1667554036
13,rikitea,-23.1203,-134.9692,70.12,70,100,15.73,PF,1667553793
14,adrar,20.5022,-10.0711,74.37,13,0,10.25,MR,1667554037
15,carnarvon,-24.8667,113.6333,72.9,66,0,25.3,AU,1667554038
16,nacala,-14.5428,40.6728,87.12,51,40,16.11,MZ,1667554039
17,mar del plata,-38.0023,-57.5575,56.88,88,40,7.0,AR,1667554030
18,abdanan,32.9926,47.4198,68.68,27,0,4.94,IR,1667554042
19,verkhoyansk,67.5447,133.385,-1.66,99,100,3.04,RU,1667554043
20,hobart,-42.8794,147.3294,55.26,76,75,9.22,AU,1667554044
21,qaanaaq,77.484,-69.3632,16.65,58,100,8.46,GL,1667554045
22,strezhevoy,60.7333,77.5889,30.56,86,68,5.17,RU,1667553789
23,airai,-8.9266,125.4092,66.24,87,100,3.27,TL,1667554046
24,mount gambier,-37.8333,140.7667,52.99,75,100,3.74,AU,1667554047
25,clyde river,70.4692,-68.5914,14.23,85,100,11.5,CA,1667554048
26,cayenne,4.9333,-52.3333,75.24,100,0,2.3,GF,1667554050
27,jamestown,42.097,-79.2353,58.59,81,0,6.91,US,1667554051
28,nome,64.5011,-165.4064,17.67,74,75,0.0,US,1667554052
29,tasiilaq,65.6145,-37.6368,32.16,92,100,14.2,GL,1667554053
30,provideniya,64.3833,-173.3,14.92,85,99,7.52,RU,1667554054
31,vaini,-21.2,-175.2,75.36,88,20,8.05,TO,1667554055
32,klichka,50.4457,117.996,23.59,58,84,5.48,RU,1667554056
33,los llanos de aridane,28.6585,-17.9182,71.35,84,75,10.36,ES,1667554057
34,tuatapere,-46.1333,167.6833,48.04,79,64,11.65,NZ,1667554058
35,bengkulu,-3.8004,102.2655,81.16,79,99,6.93,ID,1667554060
36,husavik,66.0449,-17.3389,37.81,98,100,5.86,IS,1667554061
37,mataura,-46.1927,168.8643,45.73,85,92,9.19,NZ,1667554062
38,grand island,40.925,-98.342,35.55,85,100,18.41,US,1667554062
39,ribeira grande,38.5167,-28.7,69.78,100,75,17.27,PT,1667554064
40,dingle,10.9995,122.6711,80.67,85,100,6.82,PH,1667554065
41,taguatinga,-12.3857,-46.5711,69.17,86,100,5.28,BR,1667554066
42,lagoa,39.05,-27.9833,67.69,91,2,22.08,PT,1667554067
43,butaritari,3.0707,172.7902,80.33,71,9,12.66,KI,1667554068
44,tyukhtet,56.5389,89.3011,33.24,74,80,3.36,RU,1667554069
45,lebedyan,53.0194,39.1664,36.59,72,100,3.42,RU,1667554070
46,tiznit,29.5833,-9.5,70.86,35,4,1.86,MA,1667554071
47,labuhan,-6.8844,112.2051,85.6,68,100,9.8,ID,1667554072
48,college,64.8569,-147.8028,12.15,87,100,0.0,US,1667554072
49,sambava,-14.2667,50.1667,80.33,61,84,9.24,MG,1667554073
50,phan thiet,10.9333,108.1,81.46,76,37,17.16,VN,1667553839
51,dikson,73.5069,80.5464,21.74,95,100,5.97,RU,1667554075
52,port alfred,-33.5906,26.891,70.18,78,66,5.99,ZA,1667554076
53,hithadhoo,-0.6,73.0833,82.36,72,35,13.73,MV,1667554078
54,darhan,49.4867,105.9228,31.89,48,22,5.39,MN,1667554079
55,hasaki,35.7333,140.8333,59.4,70,99,19.71,JP,1667554080
56,bemidji,47.4736,-94.8803,32.05,82,100,10.36,US,1667554081
57,iqaluit,63.7506,-68.5145,11.93,73,100,2.3,CA,1667554082
58,constitucion,-35.3333,-72.4167,49.08,87,100,1.23,CL,1667553957
59,norman wells,65.282,-126.8329,3.24,78,100,5.75,CA,1667554084
60,luderitz,-26.6481,15.1594,68.92,63,10,8.21,NA,1667554086
61,half moon bay,37.4636,-122.4286,52.99,65,0,3.44,US,1667554042
62,bethel,41.3712,-73.414,50.94,92,100,0.0,US,1667554088
63,mafinga,-7.25,35.0667,88.75,27,69,5.93,TZ,1667554078
64,ushuaia,-54.8,-68.3,47.86,81,75,27.63,AR,1667554090
65,punta arenas,-53.15,-70.9167,57.31,58,0,13.8,CL,1667553946
66,yellowknife,62.456,-114.3525,19.56,86,100,15.01,CA,1667554091
67,comodoro rivadavia,-45.8667,-67.5,60.06,49,0,3.53,AR,1667554092
68,hermanus,-34.4187,19.2345,68.4,75,77,12.48,ZA,1667554093
69,susuman,62.7833,148.1667,0.14,96,100,0.83,RU,1667554094
70,avarua,-21.2078,-159.775,75.25,73,20,12.66,CK,1667554095
71,indramayu,-6.3264,108.32,85.15,67,99,9.86,ID,1667554096
72,angol,-37.8,-72.7167,54.75,98,99,1.36,CL,1667554097
73,kidal,18.4411,1.4078,80.73,15,71,21.77,ML,1667554098
74,nikolskoye,59.7035,30.7861,30.09,62,20,3.06,RU,1667554100
75,chuy,-33.6971,-53.4616,58.87,68,100,9.08,UY,1667554101
76,salalah,17.0151,54.0924,86.09,58,75,11.5,OM,1667554103
77,pangnirtung,66.1451,-65.7125,2.62,81,9,11.14,CA,1667554105
78,tenenkou,14.4572,-4.9169,85.17,13,0,10.96,ML,1667554107
79,castro,-24.7911,-50.0119,44.96,95,91,4.9,BR,1667554108
80,saldanha,-33.0117,17.9442,73.45,77,27,10.04,ZA,1667554109
81,puerto ayora,-0.7393,-90.3518,66.56,80,99,10.83,EC,1667554110
82,maunatlala,-22.597,27.6301,85.12,42,100,11.56,BW,1667554111
83,haapiti,-17.5667,-149.8667,77.72,78,98,19.66,PF,1667554112
84,seoul,37.5683,126.9778,45.84,30,0,9.22,KR,1667554066
85,hilo,19.7297,-155.09,74.62,99,100,8.05,US,1667554114
86,new norfolk,-42.7826,147.0587,54.91,63,84,1.01,AU,1667554114
87,east london,-33.0153,27.9116,76.14,64,40,11.5,ZA,1667554115
88,palu,-0.8917,119.8707,81.75,90,44,1.83,ID,1667554116
89,karratha,-20.7377,116.8463,87.13,26,0,9.57,AU,1667554117
90,kathmandu,27.7167,85.3167,73.62,43,20,3.44,NP,1667554077
